,age,gender,height,weight,waist_size,blood_pressure,heart_rate,cholesterol,glucose,insulin,sleep_hours,sleep_quality,work_hours,physical_activity,daily_steps,calorie_intake,sugar_intake,smoking_level,water_intake,screen_time,stress_level,mental_health_score,mental_health_support,education_level,job_type,occupation,income,diet_type,device_usage,healthcare_access,insurance,sunlight_exposure,meals_per_day,family_history,pet_owner,electrolyte_level,gene_marker_flag,environmental_risk_score,target
age,1.0,0.0001241926583732684,-0.00720747738642911,0.0031793331207374464,-0.006346905890998042,0.004826698304961611,-0.005409376483051023,0.005709979535349602,-0.0009541424907471529,-0.0013335718363021542,0.0019291261914600503,0.0010538411744530729,0.0015853842527151875,-0.0026726128243956845,0.0007869023167333809,-0.002864411524784327,-0.0009259524220513418,0.0028538828690162724,0.00272771630878106,-0.006106456183100977,0.001292673153463491,0.0018686133717622135,0.005722934034587348,0.004237114203771311,-0.005771490861032602,0.002135553791571258,0.002440032608085767,-0.0004563735234749944,0.00030565423839031745,-0.0004884631275461224,-0.002810082555861979,-0.0030519312900386193,-0.001709763078240517,0.0005798403167623739,0.001611236232275292,,,,-0.006951084854237443
gender,0.0001241926583732684,1.0,0.002336625374701485,-0.0051033857373277616,0.004161463475445849,-0.0012634040320938505,0.0017169099332956755,-0.0014072777880525145,-0.004243852947643142,-0.001750355539695734,0.0027971383041500634,-0.0046644539820885345,-0.0005877292392886909,0.0007124074509791101,-0.004291525398578122,0.0031446179234141626,-0.002889214493937342,0.0011351484556200253,-0.0031346646974179915,0.0026669449030080226,0.005116426609816645,-3.5508236691610416e-05,-0.0029145252612411622,0.0022365643510915537,-0.0013329672505921159,0.003211191176350118,-0.0004773004497781775,0.003251607274205165,0.0011237609479218373,-0.0005460987255442215,-0.00074639358662218,0.004279026619507251,0.007240295560899219,0.0034171099753106285,-0.003691951750695792,,,,0.0009161433502099905
height,-0.00720747738642911,0.002336625374701485,1.0,-0.0030225562525022062,0.0012606464081896074,0.0014468591107159008,-0.006462321508907339,0.0007035178892296149,-0.0030799982491395966,-0.0030567305938670273,-0.00874409169213147,-0.0008605469320595786,-0.0010203521745439066,-0.005063668598882644,0.001852071390291655,-0.004329684335834176,-0.004021054582335579,0.0015483200008208978,0.006331332411383791,-0.0027117467625353033,-0.0064004482614824455,0.0008034300635262261,-0.00025317901336059266,-0.0013242272411830563,-0.0020861083861976565,-0.002260600546142532,-0.0059652022164777335,-0.0033579783539315474,0.0045447330347729445,-0.004354987852288145,-0.005477213862371725,-0.0047021591284506885,0.002371959248488909,-0.003351421945987575,7.51614125908807e-05,,,,0.0013996745677445296
weight,0.0031793331207374464,-0.0051033857373277616,-0.0030225562525022062,1.0,0.005047523904186202,0.0028728419676475768,-0.0019618537542566367,-0.000324334243278177,0.002119652419309597,0.0033733887076697047,0.004969898345442279,-0.0006612071571991772,-0.0048993057216922325,0.0017491890222185893,-0.004763633228035636,0.0038552583256626035,0.0032068450472503805,0.00014934155635428335,0.0055864322238306525,0.00012610228891008662,0.00048705263278569095,-0.004956172136928398,-0.0008554696764232031,-0.0016420433059274706,0.001565038743770112,-0.00017747077349744152,0.002853289805456305,-0.0007985611650206579,0.0017516036571073557,0.0030864949321767017,0.0010488544341671535,0.0008566626774279346,-0.0043817751229590605,-0.0025857105744625415,0.004096606924306904,,,,-0.0024778212029552237
waist_size,-0.006346905890998042,0.004161463475445849,0.0012606464081896074,0.005047523904186202,1.0,0.0015196343525678661,0.001697076362262455,-0.0012487943395410855,-0.0015207578236099174,-0.006684562290134044,-0.0004730532597840837,-0.00497202785266432,0.002781930658802755,0.002942705162092852,0.002377803617778659,-0.001388119501947221,0.00016937583545514166,0.005167246869302418,-0.003736724722309069,-0.0025679249099089347,-0.0004806459568718101,-0.001441499887786247,0.0003983631148278508,0.003073351129313723,-0.0012977268665145464,-0.0007886122379410279,0.00352628903541224,-0.0035033491309529826,-0.004558186787836572,0.006868360908020052,0.0052338045397515446,0.004298652292394543,-0.002787053259303815,-0.002602959429464103,-0.002011741656214014,,,,-0.00031678681072954307
blood_pressure,0.004826698304961611,-0.0012634040320938505,0.0014468591107159008,0.0028728419676475768,0.0015196343525678661,1.0,-0.0020238182742285797,0.0007119765474535837,0.002680072610512848,0.0036982481770627255,0.00045475531990092914,0.004273055503022503,0.004376481149952011,-0.0013104971227605477,-0.0006371295341272965,0.0014753681381634658,-0.007451724543481831,0.0037046883331733416,0.0007287385734829128,0.006496042357049311,-0.0017291387141748792,-0.0006494596955323446,0.004537909584994341,0.003556858135011387,-0.0011562183200601699,-0.00019704442429703092,-0.0030651251267296083,-0.003217273012319727,0.0006206307848421316,0.003299205124123177,0.0011199079719450321,0.0021321905346658597,0.001184931217493911,-0.0008756533117610587,-0.000988704389805112,,,,0.0027642442620145753
heart_rate,-0.005409376483051023,0.0017169099332956755,-0.006462321508907339,-0.0019618537542566367,0.001697076362262455,-0.0020238182742285797,1.0,-0.0006057914389918804,-0.001157892856798169,0.00043918835673000434,-0.0031786262628621066,0.0022499359264009085,-0.002612680012465846,0.0021833770815144656,-0.0055132188213083185,0.0046093478790943014,0.00016135960904648937,0.0017130836264376763,0.0007918146424569669,0.0015170358044197573,-0.002479697401498327,0.0035361503885598614,-0.0009954430578693592,-0.0035607091650772635,0.001528473049357244,-0.0011575505162664285,-0.0017257410147706407,-3.0288762633474562e-05,0.005041665698390819,-0.0006063222297395543,-0.0016230070696736962,0.0021345058162609135,-0.0009137703710932135,0.003423066996803252,0.006229483777519961,,,,7.843716047441576e-05
cholesterol,0.005709979535349602,-0.0014072777880525145,0.0007035178892296149,-0.000324334243278177,-0.0012487943395410855,0.0007119765474535837,-0.0006057914389918804,1.0,-0.0027682305138715083,0.005559220407521654,-0.0022455194631519973,-0.0009068332304760341,0.0032621400320684037,-0.0016469227409063943,-0.0005197197474893767,-0.0016414242610296535,-0.0005244489746972994,-0.006826817382872275,0.004550471796494245,-1.3280068556918644e-05,-0.00013336212731871662,0.0003257003703944047,0.0051887154871266255,0.004684790174345357,-0.003161736957329446,-1.9502636487739088e-05,0.0031559948952232055,0.0001054405772745117,-0.0014130963959015517,-0.002531192981233083,-0.0005575330248782433,0.0008664736653014074,-0.002005747006763244,0.004357440240459699,0.0031860831799076237,,,,-0.0014669146143393048
glucose,-0.0009541424907471529,-0.004243852947643142,-0.0030799982491395966,0.002119652419309597,-0.0015207578236099174,0.002680072610512848,-0.001157892856798169,-0.0027682305138715083,1.0,-0.0021168901554394506,-0.0037346077344782907,0.001991298103660286,-0.00277864787299434,0.0035545545464156325,-0.00028336193663992565,-0.006064785791241059,-0.001223130589786828,-0.00044037183642055874,0.0022597565109940634,-0.0009184016981321838,0.0012870247596340147,-0.005730488015833451,-0.001462440740122062,-0.0028117072553556287,-0.0009729927261583399,-0.0060734564798628835,-0.0017941326545343969,-0.00040614651067958187,-0.00428475035427693,0.00595495487934555,-0.00016375549643027096,-0.0011812567840620927,0.0013453418342991704,0.0019875107941411158,-0.004384777322796783,,,,-0.0005246422809950201
insulin,-0.0013335718363021542,-0.001750355539695734,-0.0030567305938670273,0.0033733887076697047,-0.006684562290134044,0.0036982481770627255,0.00043918835673000434,0.005559220407521654,-0.0021168901554394506,1.0,0.00042764965220666893,0.0013873095610075887,-0.000930235085104122,0.0012258494602697336,-0.00016135784723612272,0.003637212983536873,0.0016406299420594688,0.0006686858596131397,0.0019391664303222951,-0.005066850662189397,-0.0037924943080241743,0.0005210939752911212,0.0045844279675201684,-0.0022777377530634486,0.00028796446365338764,-0.004356875731207531,0.00211456080775297,0.0021549542695464136,0.00015168950261565089,-0.003275858552342663,0.003158740731212188,0.0006936784910400782,-0.002145791871843531,-0.0026639404606541794,-0.0024724247282797217,,,,-0.0003385976041028804
